2026-08-25 09:06:52,323 | INFO | 程序开始运行了
2026-08-25 09:06:52,323 | WARNING | 警告：文件快满了
2026-08-25 09:06:52,323 | ERROR | 出错啦！文件读不了
2026-08-25 09:06:52,323 | CRITICAL | 崩溃了！救命啊
2026-08-25 09:09:52,586 | INFO | 开始读取 user.json
2026-08-25 09:09:52,586 | INFO | 读取成功
2026-08-25 09:10:02,246 | INFO | 开始读取 user.json
2026-08-25 09:10:02,247 | ERROR | user.json 不存在
2026-08-25 09:14:50,612 | INFO | 程序开始运行了
2026-08-25 09:14:50,612 | WARNING | 警告：文件快满了
2026-08-25 09:14:50,612 | ERROR | 出错啦！文件读不了
2026-08-25 09:14:50,612 | CRITICAL | 崩溃了！救命啊
